timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778657915236,20008,GET Navigate Study Notes,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=STUDY_NOTES&subjectIds=2,14,15,6,7&limit=12&offset=0",0,0,20008
1778657935245,20007,GET Learning Study Notes BM TP1,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3284/detail,0,0,20007
1778657955254,2015,GET Learning Study Notes BM TP2,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3283/detail,2014,0,1518
1778657957270,530,GET Learning Study Notes BI TP1,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3162/detail,530,0,0
1778657957801,533,GET Learning Study Notes BI TP2,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3159/detail,533,0,0
1778657958335,523,GET Learning Study Notes Math TP1,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3316/detail,523,0,0
1778657958859,529,GET Learning Study Notes Math TP2,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3311/detail,529,0,0
1778657959389,579,GET Learning Study Notes Sejarah TP1,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3367/detail,579,0,0
1778657959969,498,GET Learning Study Notes Sejarah TP2,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3364/detail,498,0,0
1778657960467,505,GET Study Notes Details,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3283/detail,505,0,0
1778657960973,541,GET Flashcards,401,Unauthorized,Virtual Student 1-1,text,false,,370,397,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=FLASHCARDS&subjectIds=2,14,15,6,7&limit=12&offset=0",541,0,0
1778657961515,503,GET Quiz,401,Unauthorized,Virtual Student 1-1,text,false,,370,391,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=QUIZ&subjectIds=2,14,15,6,7&limit=12&offset=0",503,0,0
1778657962018,13075,T03A_Navigate_Quiz_And_Answer_10Q,401,"Number of samples in transaction : 25, number of failing samples : 25",Virtual Student 1-1,,false,,9250,9262,1,1,null,0,191,0
1778657962019,521,GET Quiz Detail 2808,401,Unauthorized,Virtual Student 1-1,text,false,,370,333,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/detail,520,0,0
1778657962540,537,GET Quiz 2808,401,Unauthorized,Virtual Student 1-1,text,false,,370,326,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808,537,0,0
1778657963078,523,POST Start Quiz Attempt 2808,401,Unauthorized,Virtual Student 1-1,text,false,QUIZ_ATTEMPT_ID not extracted from start attempt response,370,355,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts,523,0,0
1778657963675,527,GET Quiz Item 1826,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1826,527,0,0
1778657964268,549,POST Quiz Answer 1826,404,Not Found,Virtual Student 1-1,text,false,,371,418,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts//items/1826/answer,549,0,0
1778657964817,497,GET Quiz Item 1827,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1827,497,0,0
1778657965317,522,POST Quiz Answer 1827,404,Not Found,Virtual Student 1-1,text,false,,371,418,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts//items/1827/answer,522,0,0
1778657965840,542,GET Quiz Item 1828,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1828,542,0,0
1778657966384,505,POST Quiz Answer 1828,404,Not Found,Virtual Student 1-1,text,false,,371,418,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts//items/1828/answer,504,0,0
1778657966889,537,GET Quiz Item 1829,401,Unauthorized,Virtual Student 1-1,text,false,,370,337,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1829,537,0,0
1778657967428,524,POST Quiz Answer 1829,404,Not Found,Virtual Student 1-1,text,false,,371,418,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts//items/1829/answer,524,0,0
